date_utc,asset,close_binance,close_kraken,close_coinbase
2024-05-26,ETH,3826.47,3824.85,3823.83
2024-05-27,ETH,3894.22,3892.1,3890.72
2024-05-28,ETH,3844.69,3839.98,3839.98
2024-05-29,ETH,3767.43,3762.39,3762.11
2024-05-30,ETH,3747.91,3746.05,3746.74
2024-05-31,ETH,3762.29,3758.2,3758.44
2024-06-01,ETH,3815.82,3813.41,3812.48
2024-06-02,ETH,3780.91,3779.48,3778.88
2024-06-03,ETH,3767.06,3765.89,3766.09
2024-06-04,ETH,3810.23,3813.01,3810.29
2024-06-05,ETH,3865.99,3866.35,3866.57
2024-06-06,ETH,3813.46,3811.83,3812.09
2024-06-07,ETH,3678.32,3676.69,3676.35
2024-06-08,ETH,3681.57,3680.04,3680.84
2024-06-09,ETH,3706.4,3705.8,3706.27
2024-06-10,ETH,3667.85,3664.38,3665.86
2024-06-11,ETH,3497.33,3497.85,3497.31
